,nama,harga,deskripsi,berat,spesifikasi,kondisi,stok,dilihat,tertarik,terjual,rating,nama_toko,lokasi,kurir_pengiriman,tag,gambar,link
2348,Dijual ES68 II Digital Camera Lens Hood Replacement for Canon EOS EF 50mm f18 STM Murah,63100,"Specifications:This lens hood maximizes the amount of hood coverage for the minimum amount of weight and hood area because of its shape.The main function of the lens hood is to shade the lens from stray light, improving your contrast and image quality.In inclement weather, it can assist in keeping moisture or wind-blown debris off the lens.Easy to fit and remove, can be reversed for easy transport.Shades lens from stray light, improving your contrast and image quality, protects the lens from rain, moisture or wind-blown debris.Type: ES-68II Lens HoodCompatible with: for Canon EOS EF 50mm f/1.8 STM LensFilter Thread: 49mmMaterial: PlasticHood Shape: PetalFeatures: Easy Installation, Good Replacement, ProtectiveNote: Due to the light and screen setting difference, the items color may be slightly different from the pictures.Package Includes:1 x ES-68II Lens Hood#Es68iilenshood #Hoodreplacement #DigitalcameralenSKU : 3131/1072810478610857984/55",1000,"{'brand': 'Lainnya', 'focus_type': 'Zoom', 'kaliber': '<49mm', 'type': 'Standard'}",Baru,999,0,0,0,0.0,PRISTIANI PUSPITA STORE,Jakarta Selatan,"JNE REG, Wahana Tarif Normal",,https://s4.bukalapak.com/img/94972756542/large/data.jpeg,https://www.bukalapak.com/p/kamera/lensa/3o0on9u-jual-dijual-es68-ii-digital-camera-lens-hood-replacement-for-canon-eos-ef-50mm-f18-stm-murah
2349,LCD Screen Protector Guard Clear Tranparency for Digital Camera DSLR EOS Canon EOS-M10 Series - Anti Gores Kamera,63000,LCD Screen Protector Guard Clear Tranparency for Digital Camera DSLR EOS Canon EOS-M10 Series - Anti Gores KameraAnti Gores untuk lcd kamera anda,200,{},Baru,199,0,12,7,5.0,PUSAT PHOTOGRAPHY,Bekasi,JNE REG,,https://s0.bukalapak.com/img/569944972/large/1466723978816_scaled.jpg,https://www.bukalapak.com/p/kamera/aksesoris-kamera/screen-protector/1xftpy-jual-lcd-screen-protector-guard-clear-tranparency-for-digital-camera-dslr-eos-canon-eos-m10-series-anti-gores-kamera
2350,Cleaning Set for Cleaning Set for Camera Canon Nikon,63000,"This professional cleaning kit is exclusively designed for clearing digital and analog photographic devices, especially glass, plastic and multicoated lens and filters, photographic devices should be cleaned softly and immediately after using.Air BlowerThis blower has lots of capacity to provide large bursts of air to clean off camera equipment exteriors and digital camera CCD image sensors, memory card slots etc., Also it is an excellent way to remove dust off sensitive camera equipment parts without physical contact.Soft ClothThere are five kinds of cleaner - dry cleaning wipe , wet cleaning wipe, cotton swabs, lens cleaning paper and cleaning cloth. So they offer you professional cleaning. No matter dry and wet on camera lenses for AV devices, cell photo screens, discs, glasses or computer screens.Cleaning LiquidSuperclean cleaning liquid, it is multifunctional cleaning tools, designed for lens and LCD, also, glasses, binoculars and other photographic glass to make them clean and flesh.Retractable BrushBrush away the dust on the first stepPackage ContentsAll item you get from the box :1 x Blower1 x retractable Brush1 x Cleaning cloth1 x Cleaning Fluid1 x Wet/Dry cleaning wipes1 x Lens cleaning paper1 x cotton swabs",300,{},Baru,5,0,5,7,5.0,Sahabat Kameraku Store,Jakarta Pusat,"J&T REG, JNE REG, JNE YES, JNE Trucking, SiCepat REG, SiCepat BEST",,https://s4.bukalapak.com/img/4856473172/large/Cleaning_Set_for_Cleaning_Set_for_Camera_Canon_Nikon.jpg,https://www.bukalapak.com/p/kamera/aksesoris-kamera/aksesoris-lainnya-896/22mok-jual-cleaning-set-for-cleaning-set-for-camera-canon-nikon
2351,LH-DC60 Petal Shaped Camera Lens Hood For Canon,63000,Prevent glare and lens flare caused by unwanted light.Protect your lens from minor impact.Bayonet mount design firmly attaches hood on lens.Petal shaped lens hood allows wider shooting angle than the round hood.Lens hoods block side glare and augment the protection provided by filters to the lens surface and ring.Model: LH-DC 60Material: ABSType: Bayonet HoodSuit for: Canon PowerShot SX30 IS / PowerShot SX40 HS / PowerShot SX50 HS,80,{},Baru,2,0,3,6,5.0,Toko Digital Shop,Jakarta Pusat,"SiCepat REG, JNE REG, JNE Trucking, SiCepat HALU, J&T REG, Bayar di Tempat (COD), SiCepat BEST, GO-SEND Instant, Grab Instant, Grab Same Day, JNE YES, TIKI Reg",,https://s0.bukalapak.com/img/51753417/large/lh-dc60.jpg,https://www.bukalapak.com/p/kamera/hood-cap/i4g8f-jual-lh-dc60-petal-shaped-camera-lens-hood-for-canon
2352,LH-DC60 Petal Shaped Camera Lens Hood For Canon,63000,Prevent glare and lens flare caused by unwanted light.Protect your lens from minor impact.Bayonet mount design firmly attaches hood on lens.Petal shaped lens hood allows wider shooting angle than the round hood.Lens hoods block side glare and augment the protection provided by filters to the lens surface and ring.Model: LH-DC 60Material: ABSType: Bayonet HoodSuit for: Canon PowerShot SX30 IS / PowerShot SX40 HS / PowerShot SX50 HS,80,{},Baru,2,0,3,6,5.0,Toko Digital Shop,Jakarta Pusat,"SiCepat REG, JNE REG, JNE Trucking, SiCepat HALU, J&T REG, Bayar di Tempat (COD), SiCepat BEST, GO-SEND Instant, Grab Instant, Grab Same Day, JNE YES, TIKI Reg",,https://s0.bukalapak.com/img/51753417/large/lh-dc60.jpg,https://www.bukalapak.com/p/kamera/hood-cap/i4g8f-jual-lh-dc60-petal-shaped-camera-lens-hood-for-canon
2353,Remote Shutter Controller IR Wireless RC-6 for Digital Camera Canon - Remot Kamera,63000,"Remote Shutter Controller IR Wireless RC-6 for Digital Camera Canon - Remot KameraDengan Wireless Remote Shutter ini Anda memungkinkan mengambil gambar saat Anda berada jauh dari kamera dengan jarak +/- 4.8m. Remote ini sangat simpel karena beroperasi dengan sistem infrared, tanpa kabel; dan mudah dibawa karena ukuran yg kecil dan dapat digantung seperti gantungan kunci. SpesifikasiMax jarak s/d 16' (4.8 m)Wireless camera operationBattery : CR-2025(termasuk dalam paket)Dimensions(W x H x D): 64 x 35 x 6 mm( 2.5 x 1.4 x 0.2 inch)Kompatibel dengan Kamera :EOS 5D Mark IIEOS 7DEOS 60DEOS Digital RebelEOS Digital Rebel XT / 350DEOS Digital Rebel XTi / 400DEOS ELAN 7/7EEOS Elan 7N EF 28-105mm KitEOS ELAN 7NEEOS Elan 7NE EF 28-105mm KitEOS Elan II/IIEEOS Elan IIEEOS Rebel T1i / 500DEOS Rebel T2i / 550DEOS Rebel T3i / 600DEOS Rebel XSi / 450DLimited Edition Digital Rebel(RC-6 will not work for EOS 50D)",200,{'brand': 'Canon'},Baru,46,0,10,4,5.0,PUSAT PHOTOGRAPHY,Bekasi,JNE REG,,https://s4.bukalapak.com/img/480153832/large/wireless-remote-canon.JPG,https://www.bukalapak.com/p/kamera/remote-trigger/1lnplj-jual-remote-shutter-controller-ir-wireless-rc-6-for-digital-camera-canon-remot-kamera
2354,LCD Screen Protector Guard Clear Tranparency for Digital Camera DSLR EOS Canon 1200D Series - Anti Gores Kamera,63000,LCD Screen Protector Guard Clear Tranparency for Digital Camera DSLR EOS Canon 1200D Series - Anti Gores Kamera,200,{},Baru,46,0,5,4,4.5,PUSAT PHOTOGRAPHY,Bekasi,JNE REG,,https://s4.bukalapak.com/img/992935672/large/1466723978816_scaled.jpg,https://www.bukalapak.com/p/kamera/aksesoris-kamera/screen-protector/1woeeg-jual-lcd-screen-protector-guard-clear-tranparency-for-digital-camera-dslr-eos-canon-1200d-series-anti-gores-kamera
2355,Digital Camera Screen Protector for Mirroless Canon EOS M10 - Anti Gores Kamera,63000,Digital Camera Screen Protector for Mirroless Canon EOS M10 - Anti Gores Kamera,200,{},Baru,46,0,6,4,0.0,PUSAT PHOTOGRAPHY,Bekasi,JNE REG,,https://s3.bukalapak.com/img/324940435/large/images_scaled.jpg,https://www.bukalapak.com/p/kamera/aksesoris-kamera/screen-protector/3ukucv-jual-digital-camera-screen-protector-for-mirroless-canon-eos-m10-anti-gores-kamera
2356,Neoprene Camera Lens Carrying Bag Pouch with Clip for Canon Nikon Sony Olympus Samsung Pentax Minolta Fujifilm Sigma Tamron Tokina Yongnuo,62900,"Overview of Neoprene Camera Lens Carrying Bag Pouch with Clip for Canon Nikon Sony Olympus Samsung Pentax Minolta Fujifilm Sigma Tamron Tokina YongnuoThis soft Camera Lens Carrying Bag can be used to store, carry, and protect your lens. Made from light weight and durable neoprene material, the Camera Lens Carrying Pouch protects your device from bumps and scratches. Nylon drawstring closure across top of the bag to keep item secure. Easy to use drawstring allows fast and easy access. The Medium SLR Camera Lens Bag comes with a plastic clip and nylon fabric belt loop (suitable for belt up to approx. 1.4"" wide) for convenience use. It is washable and reusable.FeaturesThis following are features Neoprene SLR Camera Lens Carrying Bag Pouch Medium with Clip (8x10cm) :Protect your camera and look good whilst doing it.Specifically designed to suit the camera size.An economical solution compared to high end brands.Technical Specifications of Neoprene SLR Camera Lens Carrying Bag Pouch Medium with Clip (8x10cm)Dimension	8 x 10 cm",200,{},Baru,50,0,0,0,0.0,PUSAT PHOTOGRAPHY,Bekasi,JNE REG,,https://s2.bukalapak.com/img/2342358561/large/10_03_08_neoprene_slr_camera_lens_carrying_bag_pouch_medium_.jpg,https://www.bukalapak.com/p/kamera/tas-case/avgo38-jual-neoprene-camera-lens-carrying-bag-pouch-with-clip-for-canon-nikon-sony-olympus-samsung-pentax-minolta-fujifilm-sigma-tamron-tokina-yongnuo
2357,HRG PROMOSI Caoyuanstore ABS lens cover ES 68II Camera mount Lens Replacement accessories for Canon E BIG BIG SALE,62600,"??-----Welcome to the ?caoyuan?shop???shipment attention ??Actual items are the same as pictures shown on the page.? We accept .? In Stock and 24 hours delivery.? We insist on the lowest price to sell the best quality items.?the shipping fee is shown by the  system automatically.Features:Made of high quality ABS material, wear resistant, durable and long service life.It can also protect the lens from scratches, fingerprint, and prevents from wind, sand, rain and snow.Lightweight and portable, easy to carry and store.Easy installation, can be firmly mounted on the lens.Suitable for Canon EOS EF 50mm f/1.8 STM camera lens.Specifications:Condition: 100% Brand NewItem Type: Camera Lens HoodType: BayonetModel: ES-68IIMaterial: ABSColor: BlackFitment: for Canon EOS EF 50mm f/1.8 STM LensPackage List:1 * Camera Lens Hood#LensHood #CameraLensHood #MountLensHood #ABSLensHood #ES-68IILensHood #LensHoodReplacement Selamat datang di toko kami Barang yang Agan/sista pilih ini dikirim langsung dari China ke alamat tujuan kamu di Indonesia.Estimasi lama pengiriman sekitar 7-12 hari kerja sejak barang dikirim.Jam operasional : Senin - Sabtu (09.00 - 15.00 WIB)SKU : 3131/1072443207682015232/55",1000,"{'brand': 'Lainnya', 'type': 'Lainnya'}",Baru,500,0,0,0,0.0,Kennard sundari,Jakarta Utara,"JNE REG, Wahana Tarif Normal",,https://s3.bukalapak.com/img/84568952742/large/data.jpeg,https://www.bukalapak.com/p/kamera/perlengkapan-studio/3p0l63u-jual-hrg-promosi-caoyuanstore-abs-lens-cover-es-68ii-camera-mount-lens-replacement-accessories-for-canon-e-big-big-sale
